date,academy,name,psychometric_score,presentation_score
Thursday 1 August 2019,Birmingham Academy,Hilary Willmore,51,19
Thursday 1 August 2019,Birmingham Academy,Orly Lorens,51,19
Thursday 1 August 2019,Birmingham Academy,Alvie Bleackly,55,16
Thursday 1 August 2019,Birmingham Academy,Deck Itzchaki,59,21
Thursday 1 August 2019,Birmingham Academy,Wilt Penritt,66,25
Thursday 1 August 2019,Birmingham Academy,Gianna Clevely,61,16
Thursday 1 August 2019,Birmingham Academy,Yvor Phalip,59,18
Thursday 1 August 2019,Birmingham Academy,Marielle Knivett,52,18
Thursday 1 August 2019,Birmingham Academy,Florri Loughton,63,28
Thursday 1 August 2019,Birmingham Academy,Walden Gidden,49,25
Thursday 1 August 2019,Birmingham Academy,Ingunna Adin,60,20
Thursday 1 August 2019,Birmingham Academy,Janaya Mawford,52,18
Thursday 1 August 2019,Birmingham Academy,Cornall Offer,56,26
Thursday 1 August 2019,Birmingham Academy,Brnaby Bownes,59,26
Thursday 1 August 2019,Birmingham Academy,Sherline Cudihy,52,16
Thursday 1 August 2019,Birmingham Academy,Anallise Scathard,62,13
Thursday 1 August 2019,Birmingham Academy,Benson Labuschagne,64,13
Thursday 1 August 2019,Birmingham Academy,Norene Fierro,58,22
Thursday 1 August 2019,Birmingham Academy,Woody Newling,49,21
Thursday 1 August 2019,Birmingham Academy,Anna Bownes,45,20
Thursday 1 August 2019,Birmingham Academy,Lorine Bignall,59,17
Thursday 1 August 2019,Birmingham Academy,Deirdre Van Den Velde,55,19
Thursday 1 August 2019,Birmingham Academy,Ruthe Adolthine,63,17
Thursday 1 August 2019,Birmingham Academy,Star Jurges,54,22
Thursday 1 August 2019,Birmingham Academy,Stan Forkan,56,20
Thursday 1 August 2019,Birmingham Academy,Jodie Kaygill,53,17
Thursday 1 August 2019,Birmingham Academy,Tim Hush,40,22
Thursday 1 August 2019,Birmingham Academy,Delinda Conybear,54,18
Thursday 1 August 2019,Birmingham Academy,Reagen Pudge,60,14
Thursday 1 August 2019,Birmingham Academy,Matteo Yeowell,57,18
Thursday 1 August 2019,Birmingham Academy,Maye Targetter,45,19
Thursday 1 August 2019,Birmingham Academy,Carlos Gerckens,56,19
Thursday 1 August 2019,Birmingham Academy,Nevil Vidyapin,44,22
Thursday 1 August 2019,Birmingham Academy,Blake Nunson,64,18
Thursday 1 August 2019,Birmingham Academy,Ross Beevors,48,25
Thursday 1 August 2019,Birmingham Academy,Sid Libbie,59,28
Wednesday 1 May 2019,London Academy,Loree Hinkens,54,16
